Shelfmark,UV URL,Page Label,Date,Type,Notes
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.1r,"2,1,21",Director Listing,The dates were listed as the date the directors were chosen
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.1v,"2,1,21",Director Listing,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.1v,"2,2,21",Director Listing,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.2r,"2,3,21",Oaths of Directors,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.2v,"2,3,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.2r,"2,3,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.3v,"2,3,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.4r,"2,3,21",Meeting Minutes,
,,f.4v,"2,3,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.5r,"2,7,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.5v,"2,7,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.6r,"2,7,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.6v,"2,7,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.7r,"2,7,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.7v,"2,7,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.8r,"2,7,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.8v,"2,9,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.9r,"2,9,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.9v,"2,9,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.10r,"2,10,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.10v,"2,10,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.11r,"2,14,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.11v,"2,14,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.12r,"2,14,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.12v,"2,15,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.13r,"2,15,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.13v,"2,15,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.14r,"2,17,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.14v,"2,17,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.15r,"2,21,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.15v,"2,21,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.16r,"2,24,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.16v,"2,24,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.17r,"2,24,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.17v,"3,1,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.18r,"3,1,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.18v,"3,1,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.19r,"3,1,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.19v,"3,3,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.20r,"3,6,21",Meeting Minutes,
