Shelfmark,UV URL,Page Label,Date,Type,Note
MS 25551,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441249.0x000001,f.1r,"1,2,18",Meeting Minutes,All following pertain to Committee of Correspondence
,,,,,
MS 25551,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441249.0x000001,f.1v,"1,3,18",Meeting Minutes,
,,,,,
MS 25551,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441249.0x000001,f.2r,"1,8,18",Meeting Minutes,
,,,,,
MS 25551,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441249.0x000001,f.2v,"1,9,18",Meeting Minutes,
,,,,,
MS 25551,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441249.0x000001,f.3r,"1,10,18",Meeting Minutes,
,,,,,
MS 25551,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441249.0x000001,f.3v,"1,13,18",Meeting Minutes,
,,,,,
MS 25551,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441249.0x000001,f.4r,"1,16,18",Meeting Minutes,
,,,,,
MS 25551,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441249.0x000001,f.4v,"1,22,18",Meeting Minutes,
,,,,,
MS 25551,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441249.0x000001,f.5r,"1,23,18",Meeting Minutes,
,,,,,
MS 25551,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441249.0x000001,f.5v,"2,12,18",Meeting Minutes,*Quorem appointment
,,,,,
MS 25551,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441249.0x000001,f.6r,"2,19,18",Meeting Minutes,
,,,,,
MS 25551,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441249.0x000001,f.6v,"2,20,18",Meeting Minutes,
,,,,,
MS 25551,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441249.0x000001,f.7r,"2,25,18",Meeting Minutes,
,,,,,
MS 25551,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441249.0x000001,f.7v,"3,4,18",Meeting Minutes,
,,,,,
MS 25551,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441249.0x000001,f.8r,"3,6,18",Meeting Minutes,
MS 25551,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182441249.0x000001,f.8v,"3,6,18 (evening)",Meeting Minutes,
,,,,,
