Shelfmark,UV URL,Page Label,Date,Type,Notes,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.1r,"2,17,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.1v,"2,19,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.2r,"2,26,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.2v,"3,4,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.3r,"3,11,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.3v,"3,25,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.4r,"4,1,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.4v,"4,8,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.5r,"4,15,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.5v,"4,21,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.6r,"5,5,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.6v,"5,12,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.7r,"5,19,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.7v,"5,21,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.8r,"5,25,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.8v,"6,2,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.9r,"6,9,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.9v,"6,10,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.10r,"6,10,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.10v,"6,11,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.11r,"6,23,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.11v,"6,24,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.12r,"6,30,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.12v,"6,30,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.13r,"7,1,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.13v,"7,7,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.14r,"7,7,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.14v,"7,28,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.15r,"7,28,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.15v,"8,5,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.16r,"8,11,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.16v,"10,14,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.17r,"10,28,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.17v,"11,4,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.18r,"11,10,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.18v,"11,12,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.19r,"11,17,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.19v,"11,17,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.20r,"11,24,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.20v,"11,26,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.21r,"12,1,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.21v,"12,22,36",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.22r,"1,12,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.22v,"1,19,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.23r,"1,26,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.23v,"1,26,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.24r,"2,2,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.24v,"2,9,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.25r,"2,9,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.25v,"2,16,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.26r,"2,16,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.26v,"2,25,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.27r,"3,2,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.27v,"3,2,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.28r,"3,9,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.28v,"3,11,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.29r,"3,16,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.29v,"3,24,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.30r,"3,30,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.30v,"4,6,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.31r,"5,4,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.31v,"5,12,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.32r,"5,25,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.32v,"6,8,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.33r,"6,21,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.33v,"7,6,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.34r,"7,13,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.34v,"7,20,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.35r,"8,3,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.35v,"8,3,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.36r,"9,22,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.36v,"9,29,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.37r,"10,5,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.37v,"10,14,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.38r,"10,19,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.38v,"10,26,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.39r,"10,27,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.39v,"10,27,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.39v,"11,2,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.40r,"11,9,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.40v,"11,9,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.41r,"11,16,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.41v,"11,16,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.42r,"11,18,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.42v,"11,18,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.43r,"11,23,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MS 25570,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442731.0x000001,f.43v,"11,30,37",Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
