Shelfmark,UV URL,Page Label,Date,Type
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.1r,"12,13,22",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.1v,"12,13,22",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.2r,"12,13,22",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.2v,"12,13,22",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.3r,"12,13,22",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.3v,"12,13,22",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.4r,"12,13,22",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.4v,"12,13,22",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.5r,"12,13,22",Meeting Minutes
,,,,
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.5r,"12,20,22",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.5v,"12,20,22",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.6r,"12,20,22",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.6v,"12,20,22",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.7r,"12,20,22",Meeting Minutes
,,,,
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.7r,"1,3,23",Meeting Minutes
