Shelfmark,UV URL,Page Label,Date,Type,Notes
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.1r,"11,15,23",Instructions,Instructions to ship captains/commanders.
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.1v,"11,15,23",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.2r,"11,15,23",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.2v,"11,15,23",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.3r,"11,15,23",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.3v,"11,15,23",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.4r,"11,15,23",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.4v,"11,15,23",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.5r,"1,3,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.5v,"1,3,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.6r,"1,3,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.6v,"1,3,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.7r,"1,3,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.7v,"1,3,24",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.8r,"1,16,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.8v,"1,16,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.9r,"1,16,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.9v,"1,16,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.10r,"1,16,24",Instructions,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.10v,"1,16,24",Instructions,
,,,,,
MS 25567,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182442488.0x000001,f.11r,"12,5,23",Instructions,
