Shelfmark,UV URL,Page Label,Date,Type,VID
Add_Ms_25577,,"f40, r","8, 3, 33","Revocation of the powers of Johnson, Tinker & Co (former Portobelo and Panama factors)",
Add_Ms_25577,,"f41, v","8, 3, 33","Revocation of the powers of Johnson, Tinker & Co (former Portobelo and Panama factors)",
Add_Ms_25577,,"f41, r","8, 3, 33","Revocation of the powers of Johnson, Tinker & Co (former Portobelo and Panama factors)",
,,,,,
Add_Ms_25577,,"f41, r","8, 3, 33",Appointment of William Parminter as agent at Portobelo and Panama factory,
Add_Ms_25577,,"f42, v","8, 3, 33",Appointment of William Parminter as agent at Portobelo and Panama factory,
Add_Ms_25577,,"f42, r","8, 3, 33",Appointment of William Parminter as agent at Portobelo and Panama factory,
,,,,,
Add_Ms_25577,,"f42, r","8, 3, 33",Certificate for vessel carrying William Parminter to Portobelo (crossed out),
Add_Ms_25577,,"f43, v","8, 3, 33",Certificate for vessel carrying William Parminter to Portobelo (crossed out),
Add_Ms_25577,,"f43, r","8, 3, 33",Certificate for vessel carrying William Parminter to Portobelo (crossed out),
,,,,,
Add_Ms_25577,,"f43, r","8, 3, 33",Appointment of William Parminter as agent at Portobelo and Panama factory,
Add_Ms_25577,,"f44, v","8, 3, 33",Appointment of William Parminter as agent at Portobelo and Panama factory,
,,,,,
Add_Ms_25577,,"f44, r","15, 3, 33","£60,000 in bonds payable to William Smith",
,,,,,
Add_Ms_25577,,"f44, r","18, 3, 33","£80,000 in bonds payable to William Smith",
,,,,,
Add_Ms_25577,,"f45,v ","19, 3, 33","£50,000 in bonds payable to William Smith",
,,,,,
Add_Ms_25577,,"f45,v ","20, 3, 33","£40,000 in bonds payable to William Smith",
,,,,,
Add_Ms_25577,,"f45, r","21, 3, 33","£80,000 in bonds payable to William Smith",
,,,,,
Add_Ms_25577,,"f45, r","22, 3, 33",Power of attorney for Mr de Gols to transfer stock and annuities to Mary Dent,
,,,,,
Add_Ms_25577,,"f45, r","22, 3, 33",Power of attorney to Mr Read to receive interest on mortgage,
,,,,,
Add_Ms_25577,,"f46, v","22, 3, 33","£100,000 in bonds payable to William Smith",
,,,,,
Add_Ms_25577,,"f46, v","23, 3, 33","£12,900 in bonds payable to William Smith",
,,,,,
Add_Ms_25577,,"f46, r","29, 3, 33","Empowerment of Everard Sayer to be syndick for the company in ecclesiastical court relating to will of Bennet Thistlewaite, former Buenos Aires factor",
Add_Ms_25577,,"f47, v","29, 3, 33","Empowerment of Everard Sayer to be syndick for the company in ecclesiastical court relating to will of Bennet Thistlewaite, former Buenos Aires factor",
,,,,,
