Shelfmark,Page Labels,Dates,Types,Slave Voyages Notes,image_filename,iiif_baseimage_url,,,,,,,,,,,,,,,,,,
mssST15v21,f.1r,"7,3,1722",Journal Entry,Mr. Wm. & Peter Hall of Falmth,mssST_57_v21_007.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1230/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.1v,"7,3,1722",Journal Entry,Mr. Wm. & Peter Hall of Falmth,mssST_57_v21_008.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1231/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.1v,"7,3,1722",Journal Entry,Sr. Humphry Mackworth,mssST_57_v21_008.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1231/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.2r,"7,3,1722",Journal Entry,Sr. Humphry Mackworth,mssST_57_v21_009.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1232/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.2v,"7,3,1722",Journal Entry,Messr Gould Harriman & Fuller,mssST_57_v21_010.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1233/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.3r,"7,3,1722",Journal Entry,Captain Booth,mssST_57_v21_011.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1234/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.3v,"7,3,1722",Journal Entry,Captain Booth,mssST_57_v21_012.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1235/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.4r,"7,3,1722",Journal Entry,Captain Booth,mssST_57_v21_013.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1236/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.4r,"7,7,1722",Journal Entry,Messr Wm. & Peter Hill at Salmouth,mssST_57_v21_013.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1236/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.4v,"7,7,1722",Journal Entry,Messr Wm. & Peter Hill at Salmouth,mssST_57_v21_014.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1237/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.5r,"7,7,1722",Journal Entry,Mr. Philips,mssST_57_v21_015.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1238/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.5v,"7,7,1722",Journal Entry,Mr. Philips,mssST_57_v21_016.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1239/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.5v,"7,7,1722",Letter,Mr. Lynn,mssST_57_v21_016.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1239/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.6r,"7,7,1722",Letter,Mr. Neal,mssST_57_v21_017.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1240/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.6v,"7,7,1722",Letter,Mr. Baldwin of Hydah,mssST_57_v21_018.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1241/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.7r,"7,7,1722",Letter,Mr. Baldwin of Hydah,mssST_57_v21_019.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1242/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.7v,"7,7,1722",Letter,Mr. Baldwin of Hydah,mssST_57_v21_020.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1243/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.8r,"7,7,1722",Letter,Mr. Baldwin of Hydah,mssST_57_v21_021.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1244/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.8v,"7,7,1722",Letter,Mr. Baldwin of Hydah,mssST_57_v21_022.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1245/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.8v,"7,7,1722",Letter,Mr. Combes,mssST_57_v21_022.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1245/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v21,f.9r,"7,7,1722",Letter,Mr. Combes,mssST_57_v21_023.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1246/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v21,f.9r,"7,9,1722",Letter,Mr. Brydges of ervksberry ,mssST_57_v21_023.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1246/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
