Title	Creator	Date Searchable	Date	Call Number	Description	Notes	Subjects	Form/Genre	Contributor	Physical Collection	Physical Sub-Collection	Part of Object	Catalog Link	Rights	Digital Collection	Digitization Specifications	Date Digitized	Cataloger	Project Administrator	Unique Digital Identifier	Object File Name	Reference URL	IIIF Object Manifest Link	IIIF Page Manifest Link	IIIF Page Image Manifest Link
"Brydges Out-Letter Book of 1st Duke of Chandos, ST 57, Vol. 17."	"Chandos, James Brydges, Duke of, 1674-1744."	1719; 1720	1719-1720	"mssST 57, v. 17"	"Copy book of outgoing letters by Brydges, James, 1st duke of Chandos."			Letters (correspondence) Great Britain. (aat) ; Letterbooks Great Britain. (aat) ; Manuscripts (documents) Great Britain 18th century. (aat)		"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 17 of ST 57	https://catalog.huntington.org/record=b1526828	"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers			B. Black ; M. Einaudi	V. Wilkie			http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/397	http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:397/manifest.json		
front cover		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1095863	mssST_57_v17_001.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/0		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:0/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/0/full/full/0/default.jpg
inside front cover		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1095864	mssST_57_v17_002.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/1/full/full/0/default.jpg
flyleaf i recto		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1095865	mssST_57_v17_003.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/2		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:2/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/2/full/full/0/default.jpg
flyleaf i verso		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1095866	mssST_57_v17_004.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/3		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:3/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/3/full/full/0/default.jpg
flyleaf ii recto		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1095867	mssST_57_v17_005.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/4		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:4/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/4/full/full/0/default.jpg
flyleaf ii verso		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1095868	mssST_57_v17_006.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/5		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:5/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/5/full/full/0/default.jpg
p. 1		1719; 1720	8 Feb 1719/20	"mssST 57, v. 17"	Correspondent: Law (Monseigneur).					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1095869	mssST_57_v17_007.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/6		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:6/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/6/full/full/0/default.jpg
p. 2		1719; 1720	8 Feb 1719/20	"mssST 57, v. 17"	"Correspondent: Woodhouse, Mr Fra."					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1095870	mssST_57_v17_008.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/7		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:7/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/7/full/full/0/default.jpg
p. 3		1719; 1720	10 Jan 1720/21 ; 9 Feb 1719/20	"mssST 57, v. 17"	Correspondents: Hereford (Cap't) ; More (Mr Arthur).					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1095871	mssST_57_v17_009.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/8		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:8/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/8/full/full/0/default.jpg
p. 4		1719; 1720	13 Feb 1719/20	"mssST 57, v. 17"	Correspondent: Carendon (Earl of).					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1095872	mssST_57_v17_010.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/9		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:9/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/9/full/full/0/default.jpg
