batch size,number selected fields,total fetch time,total results count
1000,3,35.65967082977295,63835
2000,3,36.29405498504639,63835
3000,3,38.5249879360199,63835
4000,3,38.85302186012268,63835
5000,3,43.15366792678833,63835
6000,3,37.098849058151245,63835
7000,3,37.78186511993408,63835
8000,3,38.69468903541565,63835
9000,3,38.30861306190491,63835
10000,3,42.290348052978516,63835
11000,3,39.71342992782593,63835
12000,3,40.63669228553772,63835
13000,3,44.56137418746948,63835
14000,3,41.476938009262085,63835
15000,3,40.100768089294434,63835
16000,3,45.187450885772705,63835
17000,3,41.622081995010376,63835
18000,3,37.299832820892334,63835
19000,3,40.877700090408325,63835
20000,3,40.067065715789795,63835
21000,3,39.64466714859009,63835
22000,3,43.47330975532532,63835
23000,3,37.61211800575256,63835
24000,3,40.15959072113037,63835
25000,3,39.80807900428772,63835
26000,3,36.973422050476074,63835
27000,3,44.59562110900879,63835
28000,3,40.93330502510071,63835
29000,3,37.74222993850708,63835
30000,3,35.0852370262146,63835
31000,3,38.79079723358154,63835
32000,3,43.61107420921326,63835
33000,3,41.431593894958496,63835
34000,3,43.017831325531006,63835
35000,3,39.350553035736084,63835
36000,3,41.46666979789734,63835
37000,3,39.77439880371094,63835
38000,3,40.96476101875305,63835
39000,3,36.56298589706421,63835
40000,3,47.08967995643616,63835
41000,3,39.92313766479492,63835
42000,3,36.690643072128296,63835
43000,3,39.011966943740845,63835
44000,3,40.39469385147095,63835
45000,3,37.85467529296875,63835
46000,3,38.5405809879303,63835
47000,3,43.99967002868652,63835
48000,3,41.209309101104736,63835
49000,3,39.109565019607544,63835
50000,3,36.953256368637085,63835
51000,3,41.01994800567627,63835
52000,3,42.18531608581543,63835
53000,3,37.72263193130493,63835
54000,3,39.42636799812317,63835
55000,3,43.15919303894043,63835
56000,3,46.06369614601135,63835
57000,3,40.32229208946228,63835
58000,3,38.73438835144043,63835
59000,3,40.059714794158936,63835
60000,3,37.57332682609558,63835
61000,3,38.977407932281494,63835
62000,3,39.251644134521484,63835
63000,3,39.72871398925781,63835
