13671|ASR|<i>Anti-Slavery Reporter</i>|2
13672|BarciaDataset|Barcia, Manuel (University of Leeds), Dataset of slave vessels arriving in Cuba, 1790-1810|5
13673|BDB|Binder, Franz, Dataset of 17th century Dutch slave trading voyages, currently deposited at the Wilberforce Institute for the Study of Slavery and Emancipation (Hull)|5
13674|Binder|<p>Binder, Franz, Archival and library notes on the 17th century slave trade, currently deposited at the Amsterdam City Archives</p>|4
13675|Binder:ARA,Aanwinsten|<p><em>Nationaal Archief</em> (The Hague, Netherlands)</p>|5
13676|Binder:ARA,NBKG|<p><span style="color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;">Binder, Franz, Archival and library notes on the 17th century slave trade, currently deposited at the Amsterdam City Archives: notes from the Nationaal Archief (The Hague), Nederlandse Bezittingen ter Kuste van Guin&eacute;</span></p>|5
13677|Adams|Adams, John, <i>Sketches Taken During Ten Voyages to Africa, Between the Years 1786 and 1800</i> (London, 1822).|3
13678|AfricanInstit, Fifth|African Institution, <i>Fifth Report of the Directors of the African Institution </i>(London, 1811).|3
13679|AfricanInstit, Sixth|African Institution, <i>Sixth Report of the Directors of the African Institution</i> (London, 1812).|3
13680|AfricanInstit, Seventh|African Institution, <i>Seventh Report of the Directors of the African Institution</i> (London, 1813).|3
13681|AfricanInstit, Eighth|African Institution, <i> Eighth Report of the Directors of the African Institution</i> (London, 1814).|3
13682|AfricanInstit, Ninth|African Institution, <i> Ninth Report of the Directors of the African Institution</i> (London, 1815).|3
13683|AfricanInstit, Tenth|African Institution, <i>Tenth Report of the Directors of the African Institution</i> (London, 1816).|3
13684|AfricanInstit, Twelfth|African Institution, <i>Twelfth Report of the Directors of the African Institution </i>(London, 1818).|3
13685|AfricanInstit, Thirteenth|African Institution, <i>Thirteenth Report of the Directors of the African Institution</i> (London, 1820).|3
13686|AfricanInstit, Fourteenth|African Institution, <i>Fourteenth Report of the Directors of the African Institution</i> (London, 1821).|3
13687|AfricanInstit, Fifteenth|African Institution, <i>Fifteenth Report of the Directors of the African Institution</i> (London, 1822).|3
13688|AfricanInstit, Eighteenth|African Institution, <i>Eighteenth Report of the Directors of the African Institution</i> (London, 1825).          |3
13689|AfricanInstit, Nineteenth|<p>"Instance Court of Vice-Admiralty," <em>Nineteenth Report of the African Institution</em>, (1825)</p>|3
13690|AfricanInstit, Abstract|African Institution, <i>Foreign Slave Trade. Abstract of the information laid on the table of the House of Commons</i> (London, 1821).|3
13691|Akinjogbin|Akinjogbin, I.A.,"Archibald Dalzel: Slave Trader and Historian of Dahomey," <i>Journal of African History</i>, 7 (1966): 67-78.|3
13692|Beattie|Beattie, Tim. British privateering voyages of the early eighteenth century. Boydell & Brewer Ltd, 2015.|3
