Shelfmark,Page Labels,Dates,Types,Slave Voyages Notes,HUNT. JPG Descriptors,image_filename,iiif_baseimage_url,,,,,,,,,,,,,,,,,
mssST15v17,f.1r,"2,8,1720",Journal Entry,Mr Drummond,mssST_57_v17_007.jpg,mssST_57_v17_007.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/6/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.1r,"2,8,1720",Journal Entry,Mr Law,mssST_57_v17_007.jpg,mssST_57_v17_007.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/6/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.1v,"2,8,1720",Journal Entry,Mr Woodhouse,mssST_57_v17_008.jpg,mssST_57_v17_008.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/7/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.2r,"2,8,1720",Journal Entry,Mr Woodhouse,mssST_57_v17_009.jpg,mssST_57_v17_009.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/8/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.2r,"2,9,1720",Journal Entry,Arthur Moore,mssST_57_v17_009.jpg,mssST_57_v17_009.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/8/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.2v,"2,9,1720",Journal Entry,Arthur Moore,mssST_57_v17_010.jpg,mssST_57_v17_010.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/9/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.2v,"2,13,1720",Journal Entry,Earl of Clarendon  [?],mssST_57_v17_010.jpg,mssST_57_v17_010.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/9/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.3r,"2,13,1720",Journal Entry,Mr Belfore [?],mssST_57_v17_011.jpg,mssST_57_v17_011.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/10/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.3r,"2,13,1720",Journal Entry,Peter Walters Esq.,mssST_57_v17_011.jpg,mssST_57_v17_011.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/10/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.3v,"2,13,1720",Journal Entry,Peter Walters Esq.,mssST_57_v17_012.jpg,mssST_57_v17_012.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/11/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.3v,"2,13,1720",Journal Entry,"Sr Hund D"" or Hoskins",mssST_57_v17_012.jpg,mssST_57_v17_012.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/11/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.3v,"2,13,1720",Journal Entry,Mr Clayton,mssST_57_v17_013.jpg,mssST_57_v17_013.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/12/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
