Shelfmark,Page Labels,Dates,Types,Slave Voyages Notes,image_filename,iiif_baseimage_url,,,,,,,,,,,,,,,,,,
mssST15v18,f.1r,"2,27,1720",Journal Entry,Dennis Dutry,mssST_57_v18_015.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/412/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.1r,"2,27,1720",Journal Entry,Matthew Decker,mssST_57_v18_015.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/412/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.1v,"2,27,1720",Journal Entry,Matthew Decker,mssST_57_v18_016.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/413/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.1v,"2,27,1720",Journal Entry,Walpoole,mssST_57_v18_016.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/413/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.1v,"3,1,1720",Journal Entry,Mr Pells,mssST_57_v18_016.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/413/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.2r,"3,1,1720",Journal Entry,Mr Pells,mssST_57_v18_017.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/414/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.2r,"3,1,1720",Journal Entry,Mr Pells,mssST_57_v18_017.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/414/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.2v,"3,1,1720",Journal Entry,Mr Blunt,mssST_57_v18_018.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/415/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.2v,"3,14,1720",Journal Entry,Mr More,mssST_57_v18_018.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/415/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.2v,"3,14,1720",Journal Entry,Mr Moody,mssST_57_v18_018.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/415/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.3r,"3,14,1720",Journal Entry,Mr Moody,mssST_57_v18_019.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/416/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.3r,"3,14,1720",Journal Entry,Mr Townsend,mssST_57_v18_019.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/416/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.3r,"3,18,1720",Journal Entry,Mr Lockwood,mssST_57_v18_019.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/416/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.3v,"3,18,1720",Journal Entry,Mr Lockwood,mssST_57_v18_020.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/417/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.4r,"3,18,1720",Journal Entry,Mr Gibson,mssST_57_v18_021.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/418/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.4r,"3,18,1720",Journal Entry,Mr Taylor,mssST_57_v18_021.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/418/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.4v,"3,18,1720",Journal Entry,Mr Taylor,mssST_57_v18_022.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/419/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.4v,"3,18,1720",Journal Entry,Mr Guildford,mssST_57_v18_022.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/419/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.5r,"3,18,1720",Journal Entry,Mr Guildford,mssST_57_v18_023.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/420/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.5r,"3,18,1720",Journal Entry,E. of Clarendon,mssST_57_v18_023.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/420/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.5r,"3,18,1720",Journal Entry,Sir William Gorden,mssST_57_v18_023.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/420/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.5r,"3,18,1720",Journal Entry,Col. Bladen,mssST_57_v18_023.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/420/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.5v,"3,18,1720",Journal Entry,Moses Hart ,mssST_57_v18_024.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/421/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.5v,"3,18,1720",Journal Entry,Mr Stevenson,mssST_57_v18_024.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/421/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.5v,"3,18,1720",Journal Entry,Sr Theo Janson,mssST_57_v18_024.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/421/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.5v,"3,18,1720",Journal Entry,Mr Jacomb,mssST_57_v18_024.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/421/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.5v,"3,18,1720",Journal Entry,Mr Mead Paymaster,mssST_57_v18_024.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/421/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.6r,"3,18,1720",Journal Entry,Mr Mead Paymaster,mssST_57_v18_025.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/422/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.6r,"3,18,1720",Journal Entry,Mr Taylor,mssST_57_v18_025.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/422/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.6r,"3,18,1720",Journal Entry,Mr Matthew Decker,mssST_57_v18_025.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/422/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
