Title	Creator	Date Searchable	Date	Call Number	Description	Notes	Subjects	Form/Genre	Contributor	Physical Collection	Physical Sub-Collection	Part of Object	Catalog Link	Rights	Digital Collection	Digitization Specifications	Date Digitized	Cataloger	Project Administrator	Unique Digital Identifier	Object File Name	Reference URL	IIIF Object Manifest Link	IIIF Page Manifest Link	IIIF Page Image Manifest Link
"Brydges Out-Letter Book of 1st Duke of Chandos, ST 57, Vol. 19. "	"Chandos, James Brydges, Duke of, 1674-1744."	1721	Feb 1721 - Nov. 1721	"mssST 57, v. 19"	"Copy book of outgoing letters by Brydges, James, 1st duke of Chandos."			Letters (correspondence) Great Britain. (aat) ; Letterbooks Great Britain. (aat) ; Manuscripts (documents) Great Britain 18th century. (aat)		"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57	https://catalog.huntington.org/record=b1526828	"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers			B. Black ; M. Einaudi	V. Wilkie			http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/1223	http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:1223/manifest.json		
front cover				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099357	mssST_57_v19_001.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/904		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:904/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/904/full/full/0/default.jpg
inside front cover				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099358	mssST_57_v19_002.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/905		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:905/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/905/full/full/0/default.jpg
flyleaf i recto				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099359	mssST_57_v19_003.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/906		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:906/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/906/full/full/0/default.jpg
flyleaf i verso				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099360	mssST_57_v19_004.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/907		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:907/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/907/full/full/0/default.jpg
flyleaf ii recto				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099361	mssST_57_v19_005.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/908		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:908/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/908/full/full/0/default.jpg
flyleaf ii verso				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099362	mssST_57_v19_006.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/909		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:909/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/909/full/full/0/default.jpg
p. 1			25 Feb 1721	"mssST 57, v. 19"	"Correspondent: Watkins, Col.."					"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099363	mssST_57_v19_007.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/910		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:910/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/910/full/full/0/default.jpg
p. 2			25 Feb 1721	"mssST 57, v. 19"	"Correspondent: Davenant, Mr.."					"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099364	mssST_57_v19_008.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/911		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:911/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/911/full/full/0/default.jpg
p. 3				"mssST 57, v. 19"						"Stowe papers, 1175-1919 (bulk 1600-1900)."	ST Volumes	Volume 19 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:08:22	B. Black ; M. Einaudi	V. Wilkie	1099365	mssST_57_v19_009.jpg	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/912		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:912/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/912/full/full/0/default.jpg
