VOYAGEID,ID,Captive name,Shipper,Owner A,Owner B,,,,,,,,,,,
136122,800001,Henry Long,"Murphy, Jenkins H.",,,,,,,,,,,,,
135096,800002,Ace,,"Sexton, William",,,,,,,,,,,,
135096,800003,Betsey,,"Sexton, William",,,,,,,,,,,,
135096,800004,Ana,,,,,,,,,,,,,,
135097,800005,John,,"Hamilton, S.F.",,,,,,,,,,,,
135097,800006,Moses,,"Hamilton, S.F.",,,,,,,,,,,,
135098,800007,Cato,"Bertrand, J.P.G.",,,,,,,,,,,,,
136125,800008,Malinda,,"Sawyer, Samuel",,,,,,,,,,,,
135099,800009,Harry,,"Hatch, S.",,,,,,,,,,,,
135099,800010,Mitty,,"Hatch, S.",,,,,,,,,,,,
135100,800011,Judith,,"Thompson, Thomas M.",,,,,,,,,,,,
136143,800012,Evaline,,"Carter, Edward R.",,,,,,,,,,,,
136143,800013,Chorly,,"Carter, Edward R.",,,,,,,,,,,,
136143,800014,Peter,,"Carter, Edward R.",,,,,,,,,,,,
136143,800015,Venable,,"Carter, Edward R.",,,,,,,,,,,,
136143,800016,Nathan,,"Carter, Edward R.",,,,,,,,,,,,
136143,800017,Lucy Ann,,"Carter, Edward R.",,,,,,,,,,,,
136143,800018,Anderson,,"Carter, Edward R.",,,,,,,,,,,,
136143,800019,Mary Catharine,,"Carter, Edward R.",,,,,,,,,,,,
135101,800020,Amy,,"Townsend, Nathaniel",,,,,,,,,,,,
135102,800021,Isaac,,"Matthews, John",,,,,,,,,,,,
135102,800022,Precileen,,"Matthews, John",,,,,,,,,,,,
135102,800023,Polly,,"Matthews, John",,,,,,,,,,,,
135102,800024,Haley,,"Matthews, John",,,,,,,,,,,,
135102,800025,Chaney,,"Matthews, John",,,,,,,,,,,,
135102,800026,George,,"Matthews, John",,,,,,,,,,,,
135102,800027,Margareth,,"Matthews, John",,,,,,,,,,,,
135102,800028,Solloman,,"Matthews, John",,,,,,,,,,,,
135102,800029,Pathrik,,"Matthews, John",,,,,,,,,,,,
135102,800030,Eluisa,,"Matthews, John",,,,,,,,,,,,
135102,800031,Charles,,"Matthews, John",,,,,,,,,,,,
135102,800032,Billey,,"Matthews, John",,,,,,,,,,,,
135102,800033,Peter,,"Matthews, John",,,,,,,,,,,,
135102,800034,Alfred,,"Matthews, John",,,,,,,,,,,,
135102,800035,Wiath,,"Matthews, John",,,,,,,,,,,,
135102,800036,Phoebe,,"Matthews, John",,,,,,,,,,,,
135102,800037,Carline,,"Matthews, John",,,,,,,,,,,,
135102,800038,Ann,,"Matthews, John",,,,,,,,,,,,
135102,800039,Liza,,"Matthews, John",,,,,,,,,,,,
135102,800040,Lillia,,"Matthews, John",,,,,,,,,,,,
135102,800041,Lewis,,"Matthews, John",,,,,,,,,,,,
135102,800042,Wilson,,"Matthews, John",,,,,,,,,,,,
136178,800043,James Calburn Mason,,"Mason, J.W.",,,,,,,,,,,,
136178,800044,Humphry Spink,,"Mason, J.W.",,,,,,,,,,,,
136178,800045,Jack Hughs,,"Mason, J.W.",,,,,,,,,,,,
135103,800046,Robert,"Andrews, A.H.",,,,,,,,,,,,,
135103,800047,Mary,"Andrews, A.H.",,,,,,,,,,,,,
135103,800048,Pegy,"Andrews, A.H.",,,,,,,,,,,,,
135103,800049,Petella,"Andrews, A.H.",,,,,,,,,,,,,
135103,800050,Adeline,"Andrews, A.H.",,,,,,,,,,,,,
135103,800051,Charlotte,,"Jack, William H.",,,,,,,,,,,,
135103,800052,John,,"Jack, William H.",,,,,,,,,,,,
135103,800053,Tomas,,"Jack, William H.",,,,,,,,,,,,
135103,800054,Lewis,,"Jack, William H.",,,,,,,,,,,,
135104,800055,William,,"McNeal, John G.",,,,,,,,,,,,
135104,800056,Madison,,"McNeal, John G.",,,,,,,,,,,,
135104,800057,Henry,,"McNeal, John G.",,,,,,,,,,,,
135104,800058,Jefferson,,"McNeal, John G.",,,,,,,,,,,,
135104,800059,Henry,,"McNeal, John G.",,,,,,,,,,,,
135104,800060,Jerry,,"McNeal, John G.",,,,,,,,,,,,
135104,800061,Sam,,"McNeal, John G.",,,,,,,,,,,,
135104,800062,Celia,,"McNeal, John G.",,,,,,,,,,,,
135105,800063,Maria,"Scott, Joseph",,,,,,,,,,,,,
135106,800064,Venus,,"Moore, Robert D.",,,,,,,,,,,,
135106,800065,Polly,,"Moore, Robert D.",,,,,,,,,,,,
135106,800066,Thomas,,"Moore, Robert D.",,,,,,,,,,,,
135107,800067,Esther,,"Harris, J. Gauvin",,,,,,,,,,,,
