VOYAGEID,OWNERA,CAPTAINA,CAPTAINB,CAPTAINC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135096,Haskins,Haskins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135097,"Gale, L.H.","Wallington, F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135098,"Breedlove, J.W.","Brown, Jeremiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135099,"Lewis, Nathaniel","Lewis, Nathaniel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135100,P.S. Newton & Co.,"Ashby, Frederick B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135101,Tupper & Brett,"Lewis, Nathaniel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135102,"Breedlove, J.W.","Hutton, Benjamin N.L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135103,"Gale, Levi H.","Fuller, Sam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135104,"Phelps, P.B.","Rowland, John G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135105,"Penny, P.B.","Burdick, George",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135106,Fuller,"Fuller, Sam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135107,"Gale, Levi H.","Fuller, Sam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135108,"Penny, P.B.","Douglass, Leonard A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135109,"Thompson, Samuel","Hammett, J.B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135110,"Bryan, William",Hendly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135111,James Reed & Co.,"Wright, John T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135112,"Bryan, W.","Gaylord, W.R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135113,James Reed & Co.,"Wright, John T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135114,Crawford & Vernoofft,Moore,Fergusson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135115,"Bryan, W.","Kellar, Walter J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135116,"Bryan, W.","Hendley, J.J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135117,James Reed & Co.,"Wright, John T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135118,Smith,"Smith, J.N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135119,James Reed & Co.,"Wright, John T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135120,"Bryan, William","Clark, S.W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135121,James Reed & Co.,"Wright, John T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135122,James Reed & Co.,"Moore, Andrew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135123,Bogert & Hawthorn,"Carson, Joseph B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135124,Bogert & Hawthorn,"Carson, Joseph B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135125,James Reed & Co.,"Moore, Andrew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135126,"Bryan, William","Auld, Edward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135127,James Reed & Co.,"Moore, Andrew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135128,James Reed & Co.,Wade,"Moore, Andrew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135129,"Bedford, George","Long, W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
