id	place	value	longitude	latitude	show_on_main_map	show_on_voyage_map	region_id
4	Alicante	10101	0.0000000	0.0000000	0	0	1
5	Barcelona	10102	2.1833300	41.3833300	1	1	1
6	Bilbao	10103	-2.9666700	43.2500000	1	1	1
7	Cadiz	10104	-6.2994400	36.5336100	1	1	1
8	Figuera	10105	0.0000000	0.0000000	0	0	1
9	Gibraltar	10106	-5.3500000	36.1333300	0	1	1
10	Coru?a	10107	-8.3833300	43.3666700	1	1	1
1551	?vila?	10108	-4.6812086	40.6566850	1	1	1
1489	Beja	10109	-7.8627308	38.0153039	1	1	1
11	Santander	10110	-3.8044400	43.4647200	1	1	1
12	Seville	10111	-5.9869400	37.3772200	1	1	1
13	San Lucar	10112	-6.3500000	36.7833300	1	1	1
724	Vigo	10113	-8.7200000	42.2333300	0	1	1
1468	Albacete	10114	-1.8601730	38.9942576	1	1	1
850	Puerto Santa Maria	10115	-6.2588370	36.6393280	1	1	1
1503	Bragan?a	10116	-6.7567380	41.8061131	1	1	1
1555	C?rdoba	10117	-4.7793835	37.8881751	1	1	1
1556	Extremadura	10118	-6.0679194	39.4937392	1	1	1
1557	Faro	10119	-7.9304397	37.0193548	1	1	1
1558	Galicia	10121	-8.1338558	42.5750554	1	1	1
1559	Granada	10122	-3.5984368	37.1774605	1	1	1
1560	Gipuzkoa, Spain	10123	-2.2236667	43.0756299	1	1	1
1561	Madrid	10124	-3.7037902	40.4167754	1	1	1
1562	M?laga	10125	-4.4212655	36.7212610	1	1	1
1563	Mos, Pontevedra	10126	-8.6051092	42.2051349	1	1	1
1564	Murcia	10127	-1.1306544	37.9922399	1	1	1
1565	Renton	10128	-6.7238930	43.5398246	1	1	1
1566	Olh?o	10129	-7.8423509	37.0260416	1	1	1
1567	Valladolid	10131	-4.7165331	41.6519078	1	1	1
723	Spain, place unspecified	10199	-6.2994400	36.5336100	0	1	1
1470	Ameixeira	10201	-8.5053034	41.2030443	1	1	2
14	Lagos	10202	-8.6666700	37.1000000	0	1	2
15	Lisbon	10203	-9.1333300	38.7166700	1	1	2
16	Oporto	10204	-8.6166700	41.1500000	1	1	2
1	Ilha do Fayal	10205	-28.7000000	38.5666700	0	1	2
787	Setubal	10206	-8.8930700	38.5245000	0	0	2
1478	Aveiro	10207	-8.6537539	40.6405055	1	1	2
1483	Barcelos	10208	-8.6178922	41.5317419	1	1	2
1490	Bel?m	10209	-48.5012990	-1.4563432	1	1	2
1575	Braga	10210	-8.4265070	41.5454486	1	1	2
1576	carzon de Braganza	10211	-6.7675875	41.8008646	1	1	2
1517	Cascais	10212	-9.4222945	38.6970565	1	1	2
1518	Castelo Branco	10213	-7.4965133	39.8196165	1	1	2
1523	Cernache do Bonjardim	10214	-8.1849383	39.8169193	1	1	2
1526	Chaves	10215	-7.4706046	41.7410586	1	1	2
1581	Coimbra	10216	-8.4102573	40.2033145	1	1	2
1582	Penalva do Castelo	10217	-7.6710889	40.6887505	1	1	2
1583	Evora	10218	-7.9135020	38.5714310	1	1	2
1584	Fafe	10219	-8.1728619	41.4508217	1	1	2
1585	Graja	10221	-8.6478378	41.0425186	1	1	2
1586	Guarda	10222	-7.2646725	40.5538450	1	1	2
1587	Guimaraes	10223	-8.2917857	41.4425300	1	1	2
1588	Leiria	10224	-8.8076830	39.7495331	1	1	2
1589	Lugo	10225	-7.5567582	43.0097384	1	1	2
1590	Mouraz	10226	-8.0685791	40.4768706	1	1	2
1591	?bidos	10227	-9.1582014	39.3604212	1	1	2
1592	Ribadeo	10228	-7.0403489	43.5336794	1	1	2
1593	Porto	10229	-8.6291053	41.1579438	1	1	2
1594	Our?m	10230	-8.4590077	39.7306188	1	1	2
1595	Freixo	10231	-8.5873273	41.6598811	1	1	2
1596	villa cova	10232	-8.7090931	41.5458502	1	1	2
1597	Santar?m	10233	-8.6860119	39.2366618	1	1	2
1598	S?o Martinho da G?ndara	10234	-8.5335530	40.8572521	1	1	2
1536	Ilha de S?o Miguel, A?ores	10235	-25.4970466	37.7804110	1	1	2
1600	Sao Pedro lomar, Braga	10236	-8.4273653	41.5285785	1	1	2
1601	Sintra	10237	-9.3816589	38.8028687	1	1	2
1602	Tavira	10238	-7.6430019	37.1335906	1	1	2
1603	Vila Nova de Gaia	10239	-8.6139947	41.1220537	1	1	2
1605	Viseu	10242	-7.9124712	40.6565861	1	1	2
1606	Vila Nova	10244	-7.1403598	41.0822466	1	1	2
1607	Funchal	10252	-16.9240554	32.6669328	1	1	2
1608	Vila Real	10253	-7.7406687	41.2991248	1	1	2
1609	Tabula	10254	-8.3997566	41.2310498	1	1	2
1610	Pomar, Coimbra	10255	-8.4238002	40.2059624	1	1	2
2337	Viana do Castelo	10256	-8.8329000	41.6932000	1	1	2
17	Portugal, port unspecified	10299	-9.1333300	38.7166700	0	1	2
1467	Ainsdale, Southport	10301	-3.0413134	53.6052685	1	1	3
1532	Ovingham	10302	-1.8670039	54.9684629	1	1	3
18	Great Britain, place unspecified	10399	-0.1166700	51.5000000	0	1	3
19	Barmouth	10401	0.0000000	0.0000000	0	0	63
20	Bideford	10402	0.0000000	0.0000000	0	0	63
21	Birkenhead	10403	0.0000000	0.0000000	0	0	63
22	Bristol	10404	-2.5833300	51.4500000	1	1	63
23	Brixham	10405	0.0000000	0.0000000	0	0	63
24	Broadstairs	10406	1.4500000	51.3666700	1	0	63
25	Cawsand	10407	0.0000000	0.0000000	0	0	63
26	Chepstow	10408	0.0000000	0.0000000	0	0	63
27	Chester	10409	-2.9166700	53.2000000	1	1	63
28	Colchester	10410	0.9000000	51.8833300	0	1	63
29	Cowes	10411	-1.3000000	50.7666700	1	1	63
30	Dartmouth	10412	-3.5833300	50.3500000	1	1	63
31	Deptford	10413	0.0000000	0.0000000	0	0	63
32	Dover	10414	1.3000000	51.1333300	1	1	63
33	Exeter	10415	-3.5333300	50.7000000	1	1	63
34	Folkstone	10416	1.1833300	51.0833300	1	0	63
35	Frodsham	10417	0.0000000	0.0000000	0	0	63
36	Gainsborough	10418	0.0000000	0.0000000	0	0	63
37	Greenwich	10419	0.0000000	0.0000000	0	0	63
38	Guernsey	10420	-2.5333300	49.4500000	1	1	63
39	Harwich	10421	0.0000000	0.0000000	0	0	63
40	Hull	10422	-0.3333300	53.7166700	1	1	63
41	Ilfracombe	10423	0.0000000	0.0000000	0	0	63
42	Ipswich	10424	1.1666700	52.0833300	1	0	63
43	Isle of Man	10425	0.0000000	0.0000000	0	0	63
44	Isle of Wight	10426	0.0000000	0.0000000	0	0	63
45	Jersey	10427	0.0000000	0.0000000	0	0	63
46	Kendal	10428	-2.7500000	54.3166700	0	1	63
47	King's Lynn	10429	0.0000000	0.0000000	0	0	63
48	Lancaster	10430	-2.8333300	54.0666700	1	1	63
49	Lindale	10431	0.0000000	0.0000000	0	0	63
50	Liverpool	10432	-3.0000000	53.4166700	1	1	63
51	London	10433	-0.1166700	51.5000000	1	1	63
52	Lyme	10434	-2.9333300	50.7333300	1	1	63
1466	Lancashire, place unspecified	10435	-2.5704370	53.6926700	1	1	63
53	Maryport	10436	0.0000000	0.0000000	0	0	63
54	Milford Haven	10437	-5.0333300	51.7166700	1	1	63
769	New Shoreham	10438	-0.2333300	50.8333300	0	0	63
55	Newcastle upon Tyne	10439	-1.6194400	54.9880600	1	1	63
56	Newnham	10440	0.0000000	0.0000000	0	0	63
57	North Shields	10441	0.0000000	0.0000000	0	0	63
58	Northam	10442	0.0000000	0.0000000	0	0	63
59	Norwich	10443	0.0000000	0.0000000	0	0	63
60	Padstowe	10444	-4.9333300	50.5333300	1	1	63
61	Parkgate	10445	-6.1000000	54.7166700	1	0	63
62	Piel of Foulney	10446	0.0000000	0.0000000	0	0	63
63	Plymouth	10447	-4.1386100	50.3963900	1	1	63
64	Poole	10448	-2.0000000	50.7166700	1	1	63
65	Portsery	10449	0.0000000	0.0000000	0	0	63
