id	hash	name	lat	long	value	location_type_id	parent_id	spatial_extent_id
117	7877068f026f40389575894374e7407a	Alicante	0	0	10101	3	10	NULL
118	d07671af46ab4a1ab571feb7fa8e086b	Barcelona	2.18333	41.38333	10102	3	10	NULL
119	2b1f73b3d4054c45b12cae83d6936671	Bilbao	-2.96667	43.25	10103	3	10	NULL
120	20d5b7cdde2d45909c68c57cf56f692f	Cadiz	-6.29944	36.53361	10104	3	10	NULL
121	6313065dacbc4e85ae15534de9fbe028	Figuera	0	0	10105	3	10	NULL
122	da594d66f66c4633aec7e988e3ece8ec	Gibraltar	-5.35	36.13333	10106	3	10	NULL
123	6995dfba876646d8a3b3942b6640485c	Coru?a	-8.38333	43.36667	10107	3	10	NULL
124	75c15dc4fb094ccebaaf5e8fa20139c7	?vila?	-4.6812086	40.656685	10108	3	10	NULL
125	c72910204f794949a8c42bbe0953636b	Beja	-7.8627308	38.0153039	10109	3	10	NULL
126	f6b447edbb104095b80d449572cc9f15	Santander	-3.80444	43.46472	10110	3	10	NULL
127	e012706d411943e9b6a4893dc55cfddb	Seville	-5.98694	37.37722	10111	3	10	NULL
128	437bee3fe1b749d78aade47dc906d85d	San Lucar	-6.35	36.78333	10112	3	10	NULL
129	bdd1d5bb9df74ff3bf0c49f2181065af	Vigo	-8.72	42.23333	10113	3	10	NULL
130	b232ce5dc3e04d8c8de0c890a3e093ad	Albacete	-1.860173	38.9942576	10114	3	10	NULL
131	60d2c8f57ebf43eaa5e36d285aba48c2	Puerto Santa Maria	-6.258837	36.639328	10115	3	10	NULL
132	bbe50835973b4950bc8c0257b7c748fd	Bragan?a	-6.756738	41.8061131	10116	3	10	NULL
133	ab1594e9a2104d0b8fa75b689813ff2a	C?rdoba	-4.7793835	37.8881751	10117	3	10	NULL
134	7646e27b8a544471ad6c8a8852a5dc0b	Extremadura	-6.0679194	39.4937392	10118	3	10	NULL
135	47366b3145754e04b1a334ada033e0cf	Faro	-7.9304397	37.0193548	10119	3	10	NULL
136	335ac5aecc1d4ed38fa675ab4504af23	Galicia	-8.1338558	42.5750554	10121	3	10	NULL
137	e5e088214cc94bae88a569c2aae0a445	Granada	-3.5984368	37.1774605	10122	3	10	NULL
138	4a436677966648f0a73bf1fbf1470403	Gipuzkoa, Spain	-2.2236667	43.0756299	10123	3	10	NULL
139	430542d7e2f14b9a90dfb5246db77669	Madrid	-3.7037902	40.4167754	10124	3	10	NULL
140	02e1d82ebd9546d0aac19e72c1f2d6a8	M?laga	-4.4212655	36.721261	10125	3	10	NULL
141	16d5dcf0fb9f4b9794f0a92d628f1e5e	Mos, Pontevedra	-8.6051092	42.2051349	10126	3	10	NULL
142	cfac9f5e9e1c41dda998af793a190f38	Murcia	-1.1306544	37.9922399	10127	3	10	NULL
143	caa4a92781024ad0a6c1b6a33ea98a32	Renton	-6.723893	43.5398246	10128	3	10	NULL
144	9c95c92432644b27be088b2e369f4d57	Olh?o	-7.8423509	37.0260416	10129	3	10	NULL
145	c648cfd5f6674b338d8ac600debebd06	Valladolid	-4.7165331	41.6519078	10131	3	10	NULL
146	956c9fbac66d43069d258ac76b36aed0	Spain, place unspecified	-6.29944	36.53361	10199	3	10	NULL
147	2242ad3719e74b16beaf4ac938581167	Ameixeira	-8.5053034	41.2030443	10201	3	11	NULL
148	fd6281fcaa3b4ee9adafe47555d8ba25	Lagos	-8.66667	37.1	10202	3	11	NULL
